patient_zip,PatientsNumber
90001,999
90002,1203
90003,1181
90004,933
90005,415
90006,662
90007,486
90008,1091
90009,38
90010,44
90011,1461
90012,304
90013,241
90014,153
90015,234
90016,1271
90017,224
90018,1096
90019,1414
90020,435
90021,57
90022,1353
90023,811
90024,875
90025,902
90026,1089
90027,1262
90028,556
90029,651
90030,5
90031,688
90032,1081
90033,827
90034,1239
90035,956
90036,808
90037,1088
90038,445
90039,769
90040,297
90041,734
90042,1355
90043,1597
90044,2337
90045,1134
90046,1557
90047,1878
90048,705
90049,1426
90050,5
90051,8
90053,3
90054,4
90055,1
90056,355
90057,461
90058,47
90059,1011
90060,10
90061,688
90062,819
90063,999
90064,865
90065,1070
90066,1536
90067,157
90068,660
90069,844
90070,1
90071,7
90072,1
90073,2
90074,3
90075,4
90076,2
90077,434
90078,10
90081,3
90082,1
90083,4
90086,6
90087,4
90088,2
90091,2
90093,3
90094,105
90095,1
90201,1709
90202,24
90209,12
90210,1078
90211,326
90212,438
90213,18
90220,1530
90221,1320
90222,818
90223,5
90224,12
90230,934
90231,10
90232,433
90239,6
90240,736
90241,1218
90242,1152
90245,576
90247,1227
90248,266
90249,884
90250,2570
90251,15
90254,748
90255,1295
90260,952
90262,1369
90263,2
90264,5
90265,814
90266,1448
90267,11
90270,435
90272,1002
90274,1111
90275,1437
90277,1350
90278,1376
90280,2079
90290,218
90291,835
90292,738
90293,369
90294,6
90295,17
90296,3
90301,924
90302,726
90303,668
90304,523
90305,678
90306,1
90307,4
90308,7
90309,3
90310,2
90401,184
90402,532
90403,844
90404,751
90405,963
90406,12
90407,1
90408,5
90409,9
90411,1
90501,1178
90502,515
90503,1371
90504,1082
90505,1353
90506,2
90507,3
90508,4
90509,3
90510,12
90601,1115
90602,721
90603,852
90604,1445
90605,1350
90606,1147
90607,12
90608,11
90609,9
90610,4
90620,1732
90621,740
90622,6
90623,460
90624,1
90630,1830
90631,2378
90632,14
90633,8
90637,11
90638,1935
90640,1745
90650,3180
90651,6
90652,4
90660,2109
90661,3
90662,1
90670,560
90671,1
90680,750
90701,458
90702,4
90703,1449
90704,129
90706,2266
90707,21
90710,857
90711,15
90712,1324
90713,1296
90714,17
90715,586
90716,337
90717,815
90720,909
90721,7
90723,1243
90731,2340
90732,1072
90733,15
90734,3
90740,1235
90742,48
90743,22
90744,1626
90745,1832
90746,1176
90747,1
90748,7
90749,4
90755,306
90801,30
90802,870
90803,1225
90804,912
90805,2698
90806,1171
90807,1127
90808,1792
90809,13
90810,968
90813,1189
90814,568
90815,1581
90831,2
90832,2
90833,1
90853,10
91001,1251
91003,9
91006,802
91007,627
91008,29
91009,7
91010,938
91011,667
91012,8
91016,1399
91017,24
91020,166
91021,3
91023,1
91024,389
91025,8
91030,568
91031,15
91040,822
91041,8
91042,1032
91043,5
91046,2
91066,9
91077,5
91101,344
91102,17
91103,850
91104,1131
91105,428
91106,490
91107,1014
91108,313
91109,29
91110,1
91114,5
91115,3
91116,5
91117,8
91118,1
91201,782
91202,704
91203,344
91204,380
91205,1097
91206,972
91207,344
91208,524
91209,11
91210,15
91214,980
91221,7
91222,4
91224,3
91225,1
91226,5
91301,1191
91302,1220
91303,642
91304,1567
91305,2
91306,1374
91307,1174
91308,10
91309,5
91310,5
91311,1544
91313,8
91316,1162
91319,4
91320,1992
91321,1227
91322,8
91324,957
91325,1080
91326,1298
91327,12
91328,8
91329,1
91331,2826
91333,8
91334,4
91335,2267
91337,11
91340,977
91341,3
91342,3057
91343,1538
91344,2207
91345,708
91346,12
91350,1762
91351,1417
91352,1285
91353,8
91354,1168
91355,1524
91356,1283
91357,17
91358,4
91359,14
91360,2065
91361,943
91362,1464
91364,1176
91365,18
91367,1600
91371,1
91372,4
91376,14
91377,522
91380,35
91381,624
91383,1
91384,1076
91385,5
91386,18
91387,1335
91390,790
91392,27
91394,6
91395,4
91396,5
91401,1099
91402,1359
91403,847
91404,11
91405,1336
91406,1429
91407,4
91408,5
91409,10
91411,506
91412,4
91413,26
91416,17
91423,1113
91426,13
91436,712
91501,582
91502,356
91503,13
91504,788
91505,1224
91506,769
91507,3
91508,3
91510,15
91521,1
91522,1
91601,778
91602,540
91603,5
91604,1114
91605,1257
91606,1234
91607,900
91608,2
91609,4
91610,9
91614,7
91615,6
91616,2
91617,4
91701,1660
91702,1642
91706,1947
91708,105
91709,2361
91710,2766
91711,1280
91714,1
91715,4
91716,2
91722,1158
91723,612
91724,956
91729,37
91730,2210
91731,514
91732,1194
91733,730
91734,7
91735,2
91737,915
91739,985
91740,1010
91741,1164
91743,5
91744,2283
91745,1391
91746,809
91747,11
91748,897
91749,1
91750,1560
91752,855
91754,580
91755,380
91756,2
91758,1
91759,32
91761,1799
91762,1586
91763,1078
91764,1412
91765,1233
91766,1635
91767,1438
91768,795
91769,18
91770,1142
91772,1
91773,1441
91775,498
91776,598
91778,2
91780,765
91784,1113
91785,32
91786,1864
91788,6
91789,973
91790,1325
91791,933
91792,682
91793,13
91801,992
91802,13
91803,587
91901,827
91902,631
91903,71
91905,78
91906,139
91908,14
91909,12
91910,2105
91911,2317
91912,44
91913,884
91914,366
91915,536
91916,82
91917,25
91921,12
91931,22
91932,748
91933,10
91934,23
91935,459
91941,1332
91942,1362
91943,13
91944,16
91945,931
91946,9
91948,4
91950,1378
91951,14
91962,98
91963,28
91976,13
91977,1882
91978,328
91979,15
91980,19
92003,157
92004,117
92007,402
92008,1161
92009,1758
92010,478
92011,692
92013,9
92014,621
92018,33
92019,1825
92020,2242
92021,2656
92022,15
92023,29
92024,2193
92025,1515
92026,1753
92027,1786
92028,1886
92029,790
92030,22
92033,16
92036,157
92037,1532
92038,27
92039,11
92040,2157
92046,32
92049,12
92051,21
92052,31
92054,1491
92055,3
92056,2138
92057,1836
92058,567
92059,102
92060,9
92061,134
92064,2195
92065,1883
92066,20
92067,562
92068,4
92069,1588
92070,84
92071,2551
92072,26
92074,13
92075,547
92078,1312
92079,10
92081,876
92082,886
92083,1163
92084,1637
92085,42
92086,67
92088,33
92091,61
92092,3
92093,3
92096,1
92101,853
92102,799
92103,1150
92104,1074
92105,1503
92106,740
92107,983
92108,324
92109,1218
92110,826
92111,1552
92112,25
92113,1102
92114,1916
92115,1347
92116,896
92117,2201
92118,612
92119,1061
92120,1187
92121,86
92122,1017
92123,831
92124,780
92126,1804
92127,1172
92128,1669
92129,1631
92130,1437
92131,1164
92132,9
92136,1
92137,9
92138,29
92139,844
92142,10
92143,30
92145,3
92149,5
92150,27
92153,18
92154,2026
92159,8
92160,8
92161,1
92163,23
92165,4
92166,12
92167,18
92168,14
92169,21
92170,5
92171,8
92172,15
92173,666
92174,17
92175,6
92176,11
92177,14
92178,26
92182,2
92191,3
92192,12
92193,12
92195,13
92196,12
92198,16
92201,2185
92202,32
92203,942
92210,252
92211,1292
92220,1526
92222,2
92223,2001
92225,841
92226,48
92227,1231
92230,106
92231,1130
92232,12
92233,143
92234,2071
92235,24
92236,1043
92239,6
92240,1411
92241,252
92242,14
92243,1919
92244,32
92247,34
92248,19
92249,176
92250,306
92251,737
92252,484
92253,1579
92254,198
92255,22
92256,168
92257,69
92258,9
92259,11
92260,1455
92261,48
92262,1350
92263,84
92264,879
92266,5
92267,1
92268,36
92270,956
92273,45
92274,303
92275,37
92276,285
92277,677
92280,2
92281,83
92282,34
92283,7
92284,1576
92285,145
92286,48
92301,936
92304,4
92305,22
92307,2227
92308,1978
92309,17
92310,1
92311,1829
92312,33
92313,480
92314,427
92315,342
92316,771
92317,179
92318,10
92320,378
92321,55
92322,17
92324,1714
92325,469
92327,26
92329,264
92331,10
92333,30
92334,36
92335,2429
92336,2860
92337,986
92339,51
92340,67
92341,11
92342,242
92344,614
92345,3742
92346,2126
92347,38
92350,1
92352,235
92354,562
92356,313
92358,51
92359,317
92363,118
92364,2
92365,103
92366,1
92368,32
92369,12
92371,538
92372,248
92373,1266
92374,1446
92375,29
92376,2391
92377,792
92378,26
92382,244
92385,21
92386,101
92389,4
92391,72
92392,2481
92393,74
92394,1050
92395,1613
92397,231
92398,78
92399,2477
92401,59
92402,8
92403,1
92404,2054
92405,758
92406,15
92407,1682
92408,260
92410,1127
92411,751
92413,14
92415,3
92423,26
92427,13
92501,629
92502,11
92503,2989
92504,2053
92505,1450
92506,2091
92507,1212
92508,1217
92509,2416
92513,21
92514,2
92516,10
92517,28
92518,25
92519,12
92521,1
92530,2027
92531,16
92532,624
92536,191
92539,273
92543,1446
92544,2004
92545,1826
92546,18
92548,244
92549,173
92551,777
92552,37
92553,2105
92554,6
92555,1355
92556,21
92557,1739
92561,44
92562,2488
92563,2102
92564,23
92567,334
92570,1567
92571,1289
92572,26
92581,47
92582,495
92583,1040
92584,1786
92585,630
92586,1394
92587,761
92589,33
92590,136
92591,1414
92592,2978
92593,34
92595,1316
92596,816
92602,437
92603,458
92604,897
92605,14
92606,429
92607,16
92609,6
92610,349
92612,596
92614,649
92615,20
92616,9
92617,77
92618,441
92619,20
92620,1008
92623,12
92624,310
92625,549
92626,1627
92627,1807
92628,21
92629,1297
92630,2400
92637,940
92646,2609
92647,2102
92648,1931
